製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）.1,ワイヤレス筋電センサ（乾式）.2,Unnamed: 4
2,0.003906869152847006,0.0059214182233161515,-0.006937142630506859,
3,-0.059851687191124034,0.007859241759425692,-0.048885391586941156,
4,-0.04276387380806678,-0.004013783932449822,-0.034876331807536895,
5,0.030872099294378685,0.022345361226157143,-0.004496123298065102,
6,0.005148762108710608,0.0284436773136642,-0.007916796064130316,
7,-0.015601695372557319,0.03508359440838446,0.0252945098887473,
8,0.00798534684306685,0.03662753258846628,0.0341337245550343,
9,0.013797998748073689,0.0005055219318701246,-0.08422962207086668,
10,0.005799800334934116,0.034767132516394704,-0.028960359994527146,
11,0.005260941596070504,0.040323854419700156,-0.015517519221337966,
12,0.01634190252385372,0.1233296377192443,-0.0036256397564836205,
13,-0.005737946889394141,-0.013948817507842751,-0.006849381605028956,
14,-0.011175836651385532,0.004483258815232632,0.015505265228008639,
15,-0.00639715676982723,0.012083296765081394,0.010509010737611233,
16,-0.002923237252387135,0.023129896418251326,-0.01686524508127227,
17,-0.05331408810667461,0.003871417851224482,0.04859597776626921,
18,0.023891530659793693,0.019915521140396512,-0.026414630724900526,
19,-0.00611540096040431,0.020425506362076358,-0.005980220559964497,
20,-0.004684802974651905,0.025637593592471933,-0.0017938617441031596,
21,0.004377454609670978,0.0526368329076537,-0.0037620742824574505,
22,-0.016225288214805168,0.0665145443834895,-0.00432704818013769,
23,-0.008713981455422381,-0.0026451519044200233,0.005398406557763931,
24,0.011721914880518275,0.02403406411927895,0.003184009926162085,
25,0.006431720785738367,0.058418792529766186,-0.000532108080037513,
26,0.00042759625294217993,0.042729983402040136,0.0019309625340570903,
27,-0.00503491872519394,0.018178596810858337,0.004024751763327693,
28,-0.0030381041560000512,0.02676339283074486,-0.0032610203973536013,
29,0.004891709953204943,0.03131079153604238,-0.009291253953118115,
30,0.00605150359510683,0.07076690300091396,-0.0019783989090816976,
31,-0.00046960323762226114,0.022778937299287094,0.001986374729666712,
32,-0.005735180552327414,0.0188576745048281,-0.002394443041944048,
33,-0.003393718356353684,0.048860374690984344,-0.0031809922289782687,
34,-0.006591356657026955,0.01862218793101711,0.0015715571635071944,
35,-0.03165001546163437,-0.008046345701986517,-0.013198174869531728,
36,-0.03932818477737755,-0.025138376135041725,-0.010267368333112948,
37,0.034184675388672314,0.07724203670481662,-0.004850123232207959,
38,0.03081470502952076,0.04823477289048028,-0.012677509571733109,
39,0.015627964138114306,0.03722347249461846,-0.015359677356547894,
40,0.014153602707262916,0.04637452558960785,-0.013339766591443118,
41,0.008961870729655989,0.05013418224754777,-0.011787587281128586,
42,-0.01993724180209094,0.03540553254026689,-0.01173713943023305,
43,-0.0371180648953658,-0.02169115346065103,-0.009618753043310665,
44,0.014755351442520803,0.04821779431621771,-0.0035614381248497964,
45,0.019829437204339977,0.06953028594217352,-0.010748764679284973,
46,0.015277782382857213,0.0552694014882994,-0.014120252711001762,
47,-0.007417533029236023,0.0023086010253694673,-0.01559614222432468,
48,-0.003697449039306252,0.02455660462389462,-0.015274893223498743,
49,-0.062310815654704525,0.033018382354220006,-0.0035307757126831927,
50,0.0017240171173262204,0.0590576042865374,-0.010004169695964104,
51,0.014552849269685576,0.007253880490832355,-0.012021665177370511,
52,-0.007034649204654016,-0.02145790896310697,-0.008573902160875847,
53,0.02735979168726804,0.1027835859943822,-0.005396940650394445,
54,-0.0013670080616355247,0.00038934543282146544,0.004205379350207664,
55,0.015597701541486868,0.05107146942150771,-0.01733440216290541,
56,-0.026693759510562635,0.05497890802948997,0.07200647480643131,
57,-0.05972875122496246,-0.03847889867440804,0.003716600254306984,
58,-0.0749647436087339,0.022001319378484145,-0.077399385823305,
59,0.055884053331365736,0.019852672256780734,0.20389009656949741,
60,-0.04344793041121733,0.001062080029052715,-0.13234496257149986,
61,-0.047728794842943276,0.01141952276380093,0.05438575674932046,
62,0.07120476002981596,-0.00040408947053198474,-0.07749309547245611,
63,0.004418124200732197,0.04498515339444484,-0.0006336892411262878,
64,-0.049493162336584046,0.04160561142702112,-0.05257704456082134,
65,0.0803708904114222,0.029314274695305675,-0.044698011435476755,
66,0.012353342438258159,0.02989828326718797,0.05537641013116939,
67,-0.06334510626267366,0.03380576721035179,0.13432837013542592,
68,-0.0624069056979822,0.015679916592294785,-0.06899270142661491,
69,-0.06831257587406016,0.02200000148034849,-0.1126150845590869,
70,0.09601704320300133,0.04154010194169659,0.11865006073393436,
71,-0.0023055984727590384,0.039096098043357674,-0.035951465551482605,
72,0.036150839092595644,0.06641557985213127,-0.02238563341927931,
73,0.002401905892831541,0.001588907434554379,-0.01635298287341259,
74,-0.0393233480783895,-0.0112685991430611,-0.0221124839177453,
75,-0.0819594728273742,-0.020285659814497963,0.009006163443975,
76,0.07129193163974074,0.0007315754864896176,-0.006083660791926737,
77,-0.12574995468299602,0.02893734682619821,-0.03993261662908179,
78,0.10061768819859412,0.02961990427090256,-0.002831724071051015,
79,0.03161539027873457,0.035053787886759544,0.009970926878702293,
80,-0.014836568448459311,0.015253957739754909,0.01590509621676314,
81,-0.004494197989025329,0.024479073895705777,0.024694973939679676,
82,-0.05449118834902623,0.029051346420281496,0.023785250043903,
83,0.0006810404655787125,0.01072863537901067,0.020561414525755817,
84,0.036552548448952185,0.059983060837273394,0.028071137381420905,
85,-0.0014307444047151085,0.03203462286026818,0.01839730860693878,
86,-0.008788908101290741,0.0458387615129631,0.02671942819820734,
87,-0.008269222646678353,-0.0020258331399113164,0.02344634615098237,
88,0.01386529195323405,0.07068982896617539,0.03366407246087148,
89,-0.003192474307428618,0.004189207895567204,0.024334897123320556,
90,-0.0011464614345518863,0.04522118371240874,0.016261250133609576,
91,-0.04338871943401369,0.018257516480652478,0.024263331486868805,
92,0.0031424916883750643,-0.018775013735906267,0.017297501178098036,
93,0.004253011926899121,-0.005167776873553735,0.00875609920217799,
94,0.006840611275893418,0.03052206713141794,0.015822675553887437,
95,-0.016987180270309026,0.05360735834268321,0.009029170227922084,
96,-0.03874703271735789,0.002764006823779218,0.005312943218905832,
97,-0.007479156070814261,0.020753332638064094,0.007898994521403475,
98,0.024773459663874422,0.038816515848750135,0.016935024129929435,
99,0.014067194481300182,0.04649080651890086,0.0087136520389395,
100,-0.013822611623991538,0.05931031471136522,0.01829128824281651,
