label,1ch,2ch,3ch
0.0,-342.0,-285.0,19.0
0.0,-341.0,-284.0,19.0
0.0,-339.0,-283.0,19.0
0.0,-338.0,-283.0,19.0
0.0,-337.0,-282.0,19.0
0.0,-335.0,-281.0,19.0
0.0,-335.0,-279.0,19.0
0.0,-336.0,488.0,16.0
0.0,-337.0,488.0,16.0
0.0,-336.0,488.0,16.0
0.0,-113.0,488.0,16.0
0.0,483.0,488.0,13.0
0.0,484.0,489.0,14.0
0.0,484.0,489.0,14.0
0.0,484.0,93.0,15.0
0.0,484.0,92.0,15.0
0.0,484.0,-123.0,16.0
0.0,484.0,-293.0,16.0
0.0,399.0,-289.0,18.0
0.0,-183.0,-287.0,19.0
0.0,-342.0,-286.0,19.0
0.0,-340.0,-284.0,19.0
0.0,-339.0,-284.0,19.0
0.0,-338.0,-283.0,19.0
0.0,-337.0,-282.0,19.0
0.0,-336.0,-281.0,19.0
0.0,-335.0,-279.0,19.0
0.0,-336.0,488.0,16.0
0.0,-337.0,488.0,16.0
0.0,-336.0,488.0,16.0
0.0,-95.0,488.0,15.0
0.0,483.0,489.0,14.0
0.0,484.0,489.0,13.0
0.0,484.0,488.0,15.0
0.0,484.0,95.0,15.0
0.0,484.0,88.0,15.0
0.0,484.0,-128.0,16.0
0.0,483.0,-294.0,16.0
0.0,387.0,-289.0,18.0
0.0,-194.0,-287.0,19.0
0.0,-342.0,-286.0,19.0
0.0,-340.0,-285.0,19.0
0.0,-339.0,-284.0,19.0
0.0,-338.0,-283.0,19.0
0.0,-337.0,-282.0,19.0
0.0,-335.0,-281.0,19.0
0.0,-335.0,-279.0,19.0
0.0,-337.0,488.0,16.0
0.0,-338.0,488.0,16.0
0.0,-336.0,489.0,16.0
0.0,-77.0,488.0,15.0
0.0,484.0,489.0,13.0
0.0,484.0,489.0,13.0
0.0,483.0,489.0,15.0
0.0,484.0,97.0,15.0
0.0,484.0,85.0,15.0
0.0,484.0,-140.0,16.0
0.0,483.0,-294.0,16.0
0.0,367.0,-289.0,18.0
0.0,-215.0,-287.0,19.0
0.0,-342.0,-286.0,19.0
0.0,-340.0,-285.0,19.0
0.0,-339.0,-283.0,19.0
0.0,-338.0,-283.0,19.0
0.0,-337.0,-282.0,19.0
0.0,-336.0,-281.0,19.0
0.0,-335.0,-278.0,19.0
0.0,-337.0,488.0,16.0
0.0,-337.0,488.0,16.0
0.0,-336.0,488.0,16.0
0.0,-43.0,488.0,15.0
0.0,484.0,489.0,13.0
0.0,484.0,489.0,13.0
0.0,484.0,489.0,15.0
0.0,484.0,96.0,15.0
0.0,484.0,84.0,15.0
0.0,484.0,-148.0,16.0
0.0,484.0,-294.0,16.0
0.0,357.0,-290.0,18.0
0.0,-231.0,-287.0,19.0
0.0,-342.0,-286.0,19.0
0.0,-340.0,-285.0,19.0
0.0,-339.0,-284.0,19.0
0.0,-338.0,-283.0,19.0
0.0,-336.0,-282.0,19.0
0.0,-335.0,-281.0,19.0
0.0,-334.0,-274.0,19.0
0.0,-337.0,488.0,16.0
0.0,-337.0,488.0,16.0
0.0,-336.0,488.0,16.0
0.0,-28.0,488.0,15.0
0.0,484.0,489.0,13.0
0.0,484.0,489.0,13.0
0.0,484.0,478.0,15.0
0.0,484.0,98.0,15.0
0.0,484.0,80.0,15.0
0.0,484.0,-155.0,16.0
0.0,484.0,-294.0,16.0
0.0,339.0,-290.0,18.0
0.0,-254.0,-287.0,19.0
0.0,-341.0,-286.0,19.0
0.0,-340.0,-285.0,19.0
0.0,-339.0,-284.0,19.0
0.0,-337.0,-283.0,19.0
0.0,-336.0,-282.0,19.0
0.0,-335.0,-281.0,19.0
0.0,-334.0,-233.0,19.0
0.0,-338.0,488.0,16.0
0.0,-337.0,488.0,16.0
0.0,-336.0,488.0,16.0
0.0,6.0,488.0,15.0
0.0,484.0,488.0,13.0
0.0,484.0,489.0,14.0
0.0,484.0,439.0,15.0
0.0,483.0,95.0,15.0
0.0,484.0,79.0,15.0
0.0,484.0,-168.0,16.0
0.0,484.0,-295.0,16.0
0.0,330.0,-290.0,18.0
0.0,-270.0,-287.0,19.0
0.0,-341.0,-286.0,19.0
0.0,-340.0,-285.0,19.0
0.0,-339.0,-285.0,19.0
0.0,-338.0,-283.0,19.0
0.0,-337.0,-283.0,19.0
0.0,-335.0,-282.0,19.0
0.0,-334.0,-203.0,19.0
0.0,-338.0,488.0,16.0
0.0,-337.0,488.0,16.0
0.0,-336.0,488.0,16.0
0.0,28.0,488.0,15.0
0.0,484.0,489.0,13.0
0.0,484.0,489.0,13.0
0.0,484.0,411.0,15.0
0.0,484.0,98.0,15.0
0.0,484.0,70.0,15.0
0.0,484.0,-178.0,16.0
0.0,484.0,-295.0,16.0
0.0,307.0,-290.0,18.0
0.0,-291.0,-287.0,19.0
0.0,-341.0,-287.0,19.0
0.0,-340.0,-285.0,19.0
0.0,-339.0,-285.0,19.0
0.0,-338.0,-284.0,19.0
0.0,-336.0,-282.0,19.0
0.0,-335.0,-282.0,19.0
0.0,-334.0,-160.0,19.0
0.0,-338.0,488.0,16.0
0.0,-336.0,488.0,16.0
0.0,-336.0,488.0,16.0
0.0,51.0,488.0,15.0
0.0,484.0,489.0,13.0
0.0,484.0,489.0,14.0
0.0,484.0,362.0,15.0
0.0,484.0,103.0,15.0
0.0,484.0,64.0,15.0
0.0,484.0,-192.0,16.0
0.0,483.0,-295.0,16.0
0.0,289.0,-290.0,18.0
0.0,-305.0,-288.0,19.0
0.0,-341.0,-287.0,19.0
0.0,-340.0,-286.0,19.0
0.0,-339.0,-285.0,19.0
0.0,-337.0,-284.0,19.0
0.0,-336.0,-283.0,19.0
0.0,-335.0,-282.0,19.0
0.0,-334.0,-135.0,19.0
0.0,-338.0,488.0,16.0
0.0,-337.0,488.0,16.0
0.0,-336.0,488.0,16.0
0.0,67.0,488.0,15.0
0.0,484.0,489.0,14.0
0.0,484.0,489.0,14.0
0.0,484.0,345.0,15.0
0.0,484.0,100.0,15.0
0.0,484.0,62.0,15.0
0.0,483.0,-199.0,16.0
0.0,483.0,-295.0,16.0
0.0,274.0,-290.0,18.0
0.0,-323.0,-288.0,19.0
0.0,-341.0,-287.0,19.0
0.0,-340.0,-286.0,19.0
0.0,-339.0,-285.0,19.0
0.0,-338.0,-284.0,19.0
0.0,-336.0,-283.0,19.0
0.0,-335.0,-282.0,19.0
0.0,-334.0,-92.0,19.0
0.0,-338.0,488.0,16.0
0.0,-337.0,488.0,16.0
0.0,-336.0,488.0,16.0
0.0,90.0,488.0,15.0
0.0,484.0,488.0,13.0
0.0,484.0,489.0,14.0
0.0,484.0,291.0,15.0
0.0,484.0,103.0,15.0
0.0,484.0,52.0,15.0
0.0,484.0,-213.0,16.0
0.0,484.0,-295.0,16.0
0.0,251.0,-291.0,18.0
0.0,-339.0,-288.0,19.0
0.0,-341.0,-287.0,19.0
0.0,-340.0,-286.0,19.0
0.0,-339.0,-285.0,19.0
0.0,-337.0,-284.0,19.0
0.0,-336.0,-283.0,19.0
0.0,-335.0,-282.0,19.0
