製品名,ワイヤレス筋電センサ（乾式）,
計測時ID,1,
計測開始時刻,10/04 12:51:46,
サンプリング周波数,200,
シーケンス数,4818,
PGAゲイン,x8,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,
ファイル保存形式,演算データ,
シーケンス番号,EMG01[ｍV],
1,0,
2,-0.03072359,
3,0.04364818,
4,0.03256996,
5,-0.03940153,
6,0.01454939,
7,-0.01931303,
8,0.03053896,
9,-0.01573107,
10,-0.00048006,
11,0.01547258,
12,-0.00409894,
13,0.04128483,
14,-0.1044676,
15,-0.03892148,
16,0.06229652,
17,-0.00494827,
18,-0.00594531,
19,-0.07747368,
20,0.05642506,
21,-0.00435743,
22,0.0200885,
23,-0.01905454,
24,0.05380322,
25,0.01525101,
26,-0.03386242,
27,0.02090091,
28,0.02152867,
29,-0.08681631,
30,0.03995544,
31,0.04361126,
32,-0.11067141,
33,0.00897336,
34,-0.04110019,
35,-0.01370006,
36,0.05601886,
37,0.02392895,
38,0.01731895,
39,-0.00926878,
40,0.00136631,
41,0.0088995,
42,-0.00502213,
43,0.0095642,
44,-0.00136631,
45,-0.01916532,
46,-0.00384045,
47,0.0346379,
48,0.00679464,
49,0.06410596,
50,-0.00483749,
51,-0.06713401,
52,-0.00753319,
53,-0.04047243,
54,0.0750734,
55,-0.01502945,
56,-0.00420972,
57,0.00542833,
58,-0.00324961,
59,-0.00210486,
60,0.01691275,
61,0.0300589,
62,0.05587115,
63,-0.0292465,
64,0.01602649,
65,-0.07610736,
66,0.07149144,
67,-0.01074587,
68,-0.02876644,
69,0.02459365,
70,0.04878109,
71,-0.00022156,
72,-0.02647694,
73,-0.09002899,
74,-0.01115207,
75,-0.11314554,
76,0.09963012,
77,-0.03722282,
78,0.033567,
79,0.01381085,
80,-0.0215656,
81,0.01562029,
82,-0.00468978,
83,-0.06022858,
84,0.02891415,
85,0.01336772,
86,-0.0200885,
87,0.00254799,
88,0.04324198,
89,-0.03604114,
90,-0.04999969,
91,0.02828639,
92,-0.06587848,
93,0.11739219,
94,-0.05546495,
95,0.01709738,
96,0.01997772,
97,-0.02559069,
98,-0.04379589,
99,-0.04711936,
100,0.0636259,
101,0.01111515,
102,-0.03404706,
103,-0.02259957,
104,0.02839717,
105,0.02932035,
106,0.11163152,
107,-0.11857387,
108,0.05147679,
109,-0.12115879,
110,0.08138798,
111,-0.03353008,
112,-0.03482253,
113,0.01720817,
114,-0.07252541,
115,0.05258461,
116,-0.01591571,
117,0.09217078,
118,-0.0393646,
119,0.01905454,
120,-0.01296152,
121,-0.01196448,
122,0.02149174,
123,0.03707511,
124,-0.02559069,
125,-0.01303537,
126,-0.03256996,
127,0.07211921,
128,0.03146214,
129,-0.12433454,
130,0.10808649,
131,0.00583453,
132,0.00642537,
133,0.00358196,
134,0.00963805,
135,-0.05491104,
136,0.07156529,
137,-0.02112247,
138,0.01850063,
139,-0.01344157,
140,0.04390667,
141,0.00454207,
142,-0.1475988,
143,0.03437941,
144,0.06163182,
145,-0.02459365,
146,-0.13544969,
147,0.09091525,
148,0.05029511,
149,0.01174291,
150,0.02876644,
151,0.03135136,
152,-0.00605609,
