製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）
計測時ID,1,2,3
計測開始時刻,2024/6/17 12:32,2024/6/17 12:32,2024/6/17 12:32
サンプリング周波数,200,200,200
シーケンス数,5788,5788,5788
PGAゲイン,x12,x12,x12
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
コメント,,,
ファイル保存形式,演算データ,演算データ,演算データ
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV]
132,0.0190053,-0.02754784,0.00773013
133,0.08549923,0.0470455,-0.05155065
134,0.25612842,-0.0079517,0.00753319
135,-0.20674418,-0.01799595,0.00238797
136,-0.1017719,-0.01614958,-0.00817326
137,-0.01029043,-0.01326924,-0.02594765
138,0.05807449,-0.00305266,0.0079517
139,-0.01947305,-0.03202836,-0.01117669
140,0.00521907,-0.01971923,0.02690776
141,0.03796136,-0.01147211,0.05113213
142,0.07735059,-0.00465285,-0.00583453
143,0.16806889,0.00140324,0.01555874
144,0.24677348,0.00600686,-0.03160985
145,-0.17890093,-0.00733624,-0.00576067
146,-0.01393394,-0.01553412,-0.07220537
147,-0.07584887,-0.00637613,-0.00797632
148,-0.01245684,0.00435743,-0.02193487
149,0.02392895,-0.00612995,0.00706544
150,-0.0005416,-0.00371736,0.03399782
151,0.04298349,-0.01260455,-0.03419477
152,0.00359427,-0.01006887,0.0663216
153,-0.08968434,-0.00002462,-0.00509598
154,0.06715863,-0.01319539,-0.03165909
155,0.03092054,-0.02255033,-0.01991618
156,-0.06875881,-0.00928109,-0.00142786
157,-0.07907386,-0.01149673,-0.01546027
158,-0.01410627,-0.00145248,-0.00841945
159,-0.02208258,-0.0053914,0.0048498
160,-0.05017202,-0.0148202,0.00472671
161,0.07190995,-0.01971923,0.00534216
162,0.06777408,0.00487442,0.01038891
163,0.14748802,0.00709006,-0.01420474
164,0.22961455,-0.00194484,0.07752291
165,-0.05123061,-0.01408165,-0.00502213
166,-0.17089999,-0.01706046,-0.04707012
167,0.02626769,-0.00866563,-0.06649393
168,0.26467096,0.00088626,0.06836492
169,-0.15898475,-0.00893643,-0.01061047
170,-0.17092461,-0.02513525,-0.02491368
171,0.09620818,-0.01299844,-0.02848333
172,0.07341166,-0.00716391,-0.02754784
173,0.09278624,-0.0010832,0.0115952
174,-0.0295173,-0.01533718,0.03099439
175,0.1605357,-0.02821253,-0.02316579
176,-0.11541042,-0.00521907,-0.00819788
177,-0.02380586,-0.01149673,-0.01117669
178,0.02565223,0.01632191,-0.00384045
179,0.10337209,-0.00002462,0.02131942
180,0.15504583,-0.00312652,0.0079517
181,-0.00630228,0.00425896,0.03771518
182,0.04145716,-0.00494827,-0.02419975
183,0.02050701,-0.01275226,-0.02845871
184,-0.22589719,-0.01937457,-0.03552416
185,-0.00413587,-0.01322001,-0.05339702
186,0.02786788,-0.0287049,-0.05401247
187,0.07968932,0.00878872,-0.00519445
188,0.01245684,0.00777937,0.01701122
189,0.55139988,-0.00499751,0.0266862
190,-0.16632099,-0.00977345,0.01152135
191,-0.12085106,-0.01942381,-0.01410627
192,-0.0230427,-0.00142786,-0.01829137
193,-0.01826675,0.00662231,0.02336273
194,0.0022895,-0.01516485,0.00696697
195,0.016445,-0.00723777,0.01381085
196,0.08926583,-0.00179713,-0.00649922
197,0.01811904,0.01418012,0.00731162
198,-0.11393333,-0.00438205,-0.02983734
199,0.08549923,-0.01368775,0.06582924
200,-0.07218075,-0.01701122,0.01223528
201,0.03823216,-0.00856716,0.0048498
202,0.0615949,0.01211219,0.00782861
203,0.02882799,0.01683889,0.01770053
204,-0.01888221,-0.04032472,-0.05007355
205,0.13247088,0.00275725,0.01582954
206,0.1724017,-0.01533718,-0.00219103
207,-0.0691527,-0.01176753,-0.01065971
208,-0.05738517,-0.00558835,-0.00157557
209,-0.01029043,-0.01422936,0.01634653
210,0.02939421,-0.01627267,0.0096996
211,0.02294422,-0.00598224,-0.01294921
212,0.01068433,-0.00150171,-0.00585915
213,-0.00408663,-0.00260954,-0.00460362
214,-0.04042319,-0.01075818,-0.00888719
215,-0.05002431,-0.01004425,0.00290496
216,0.02690776,-0.03468713,0.00113244
217,0.07149144,0.00598224,0.03577034
218,-0.08498225,0.01939919,0.04539608
219,0.19751233,-0.01134902,0.17016144
220,-0.22284453,-0.03916766,-0.12614399
221,-0.03540106,0.0179221,-0.05893612
222,0.01422936,-0.01125055,-0.02087629
223,0.00551449,0.0074101,-0.01171829
224,0.00891181,-0.00925647,-0.0068685
225,-0.08766564,-0.00805017,0.02402743
226,0.13865006,0.00460362,0.00182175
227,0.05130446,0.00846868,0.03050203
228,0.04325429,0.01287535,0.0252091
229,-0.16127425,-0.00785323,0.00342194
230,-0.16339142,-0.02429823,-0.02772017
231,-0.07195919,-0.00918261,-0.01937457
232,-0.01984232,-0.01006887,-0.03106825
233,-0.01287535,-0.00076317,-0.00933032
234,0.02944344,-0.00654846,-0.00206793
235,0.03451481,-0.00937956,0.01191524
236,0.01063509,-0.00598224,0.01208757
237,-0.10482457,-0.00573606,0.06245654
238,0.00780399,0.00630228,0.06715863
239,0.09569119,-0.01861141,-0.07355937
240,-0.01191524,-0.01639576,-0.03825678
241,0.03503179,-0.02619383,-0.01779901
242,0.13911781,0.00548987,0.00940418
243,0.06201341,0.01171829,-0.00568682
244,-0.0998763,-0.00699159,0.00706544
245,-0.18367687,-0.0190053,-0.00654846
246,0.16171738,-0.01122593,-0.03813369
247,0.07294392,0.00231412,0.04423902
248,0.0292465,-0.00162481,0.00659769
249,0.02257495,-0.01841446,-0.02890184
250,0.19404116,-0.01523871,0.06570615
251,-0.25607919,-0.01085665,-0.00076317
252,-0.22232754,-0.01474634,-0.03128981
253,0.13985636,-0.00093549,-0.03222531
254,-0.05595731,-0.02582456,0.0179221
255,0.15383953,-0.00928109,-0.02417514
256,-0.03796136,-0.01358928,-0.02589841
257,0.02186102,-0.00238797,-0.01068433
258,0.04069399,0.00507136,0.04130945
259,-0.01260455,-0.00288034,0.02651387
260,0.01011811,-0.00940418,-0.08028016
261,-0.01669118,-0.00046775,0.02772017
262,0.0334316,0.00644999,-0.02136865
263,-0.00546525,0.00428358,0.04288502
264,0.02085167,-0.01085665,-0.00260954
265,0.01324463,-0.00827174,0.00694235
266,0.29379437,0.00093549,0.00017233
267,-0.08527767,0.00925647,0.00435743
268,-0.32675822,0.00859177,0.01029043
269,0.20583331,0.00371736,0.0385522
270,-0.17156468,-0.01555874,-0.03330851
271,-0.00366812,-0.01708508,-0.05007355
272,0.00928109,-0.00433281,-0.03128981
273,0.00164942,0.0064746,-0.0153618
274,-0.01420474,-0.00733624,-0.0017479
275,0.03857682,-0.00859177,0.00809941
276,-0.02528296,0.0025603,0.0033727
277,-0.06821721,-0.00669617,0.04145716
278,-0.03769056,0.00273263,0.05827143
279,0.00526831,-0.01774977,-0.0064746
280,-0.00292957,-0.01607573,-0.02912341
281,-0.00157557,-0.00219103,-0.02690776
282,0.00342194,0.0020187,0.05448022
283,0.04288502,0.00521907,-0.03082207
284,0.13911781,-0.00472671,0.03289
285,-0.1396348,-0.01789748,-0.02383048
286,0.11132379,-0.00632689,0.04753787
287,0.10814804,0.00206793,0.01528794
288,-0.13279092,-0.00659769,-0.03025585
289,-0.04999969,-0.01223528,0.00509598
290,-0.0760212,-0.01467249,-0.01299844
291,0.13252012,-0.01100436,-0.03000966
292,0.02284575,0.00361888,-0.00039389
293,-0.06681397,0.00088626,-0.00967498
294,-0.05804987,-0.01555874,0.09874386
295,0.00704082,-0.0149679,-0.04918729
